question_type,문항수,LOO정확도,최근접유사도_평균,최근접유사도_최소
fact,445,0.7528,0.7824,0.4910
faq,173,0.4393,0.7596,0.5298
table_lookup,114,0.7105,0.7604,0.5422
link_guide,56,0.6250,0.8048,0.5638
file_download,29,0.6552,0.7482,0.5378
